time,currency,event,impact,actual,forecast,previous
2026-06-30T01:30:00Z,AUD,RBA June meeting minutes,High,Hawkish; cash rate held 4.35%,,
2026-07-01T14:00:00Z,USD,ISM Manufacturing PMI,Medium,,,
2026-07-02T12:30:00Z,USD,Non-Farm Payrolls (June - released early for 4 Jul holiday),High,,172K,
2026-07-02T12:30:00Z,USD,Unemployment Rate,High,,,
2026-07-02T12:30:00Z,USD,Average Hourly Earnings,Medium,,,
2026-07-02T14:00:00Z,USD,ISM Services PMI,High,,,
