Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:52:09.209000,GAS,10,0 days 00:01:44.902000,14.0,3.0,0 days 00:50:26.371000,,0 days 00:00:38.635000,0 days 00:00:19.338000,0 days 00:00:46.929000,0 days 00:51:02.942000,0 days 00:51:22.280000,0 days 00:52:09.209000,224.0,286.0,279.0,201.0,False,SOFT,1.0,True,Alpine,0 days 00:50:24.307000,,1,,False,,False,False
0 days 00:54:04.848000,GAS,10,0 days 00:01:55.639000,15.0,3.0,,,0 days 00:00:40.546000,0 days 00:00:26.105000,0 days 00:00:48.988000,0 days 00:52:49.755000,0 days 00:53:15.860000,0 days 00:54:04.848000,126.0,240.0,281.0,293.0,False,SOFT,2.0,True,Alpine,0 days 00:52:09.209000,,1,,False,,False,True
0 days 00:55:30.234000,GAS,10,0 days 00:01:25.386000,16.0,3.0,,,0 days 00:00:29.790000,0 days 00:00:18.890000,0 days 00:00:36.706000,0 days 00:54:34.638000,0 days 00:54:53.528000,0 days 00:55:30.234000,260.0,260.0,286.0,299.0,True,SOFT,3.0,True,Alpine,0 days 00:54:04.848000,,1,,False,,False,True
0 days 00:57:33.435000,GAS,10,0 days 00:02:03.201000,17.0,3.0,,,0 days 00:00:46.002000,0 days 00:00:25.377000,0 days 00:00:51.822000,0 days 00:56:16.236000,0 days 00:56:41.613000,0 days 00:57:33.435000,207.0,270.0,277.0,261.0,False,SOFT,4.0,True,Alpine,0 days 00:55:30.234000,,1,,False,,False,True
0 days 00:59:18.934000,GAS,10,0 days 00:01:45.499000,18.0,3.0,,,0 days 00:00:39.650000,0 days 00:00:23.203000,0 days 00:00:42.646000,0 days 00:58:13.085000,0 days 00:58:36.288000,0 days 00:59:18.934000,190.0,248.0,315.0,290.0,False,SOFT,5.0,True,Alpine,0 days 00:57:33.435000,,1,,False,,False,True
0 days 01:00:43.728000,GAS,10,0 days 00:01:24.794000,19.0,3.0,,,0 days 00:00:29.331000,0 days 00:00:18.946000,0 days 00:00:36.517000,0 days 00:59:48.265000,0 days 01:00:07.211000,0 days 01:00:43.728000,270.0,262.0,280.0,313.0,True,SOFT,6.0,True,Alpine,0 days 00:59:18.934000,,1,,False,,False,True
0 days 01:02:43.950000,GAS,10,0 days 00:02:00.222000,20.0,3.0,,,0 days 00:00:46.557000,0 days 00:00:25.794000,0 days 00:00:47.871000,0 days 01:01:30.285000,0 days 01:01:56.079000,0 days 01:02:43.950000,186.0,222.0,289.0,217.0,False,SOFT,7.0,True,Alpine,0 days 01:00:43.728000,,1,,False,,False,True
0 days 01:04:26.315000,GAS,10,0 days 00:01:42.365000,21.0,3.0,,,0 days 00:00:29.308000,0 days 00:00:18.109000,0 days 00:00:54.948000,0 days 01:03:13.258000,0 days 01:03:31.367000,0 days 01:04:26.315000,265.0,269.0,193.0,304.0,False,SOFT,8.0,True,Alpine,0 days 01:02:43.950000,,126,,False,,False,False
0 days 01:06:31.078000,GAS,10,0 days 00:02:04.763000,22.0,3.0,,,0 days 00:00:41.318000,0 days 00:00:26.365000,0 days 00:00:57.080000,0 days 01:05:07.633000,0 days 01:05:33.998000,0 days 01:06:31.078000,174.0,265.0,198.0,191.0,False,SOFT,9.0,True,Alpine,0 days 01:04:26.315000,,67,,False,,False,False
0 days 01:08:25.397000,GAS,10,0 days 00:01:54.319000,23.0,3.0,,,0 days 00:00:40.498000,0 days 00:00:26.335000,0 days 00:00:47.486000,0 days 01:07:11.576000,0 days 01:07:37.911000,0 days 01:08:25.397000,199.0,192.0,273.0,202.0,False,SOFT,10.0,True,Alpine,0 days 01:06:31.078000,,71,,False,,False,False
